id,score,text,episode,start_time,end_time,start_frame,end_frame
aQulFI8BYtCDorbFC22p,1.0,是我自己講了那種奇怪的話,1,"00:20:46,411","00:20:48,746",29883,29939
agulFI8BYtCDorbFC22p,1.0,謝謝你邀我一起組樂團,1,"00:20:50,666","00:20:53,918",29985,30063
awulFI8BYtCDorbFC22p,1.0,不過 對不起,1,"00:20:54,795","00:20:57,296",30084,30144
bAulFI8BYtCDorbFC22p,1.0,燈,1,"00:21:02,177","00:21:02,927",30261,30279
bgulFI8BYtCDorbFC22p,1.0,你是誰,1,"00:21:07,391","00:21:08,599",30386,30415
cAulFI8BYtCDorbFC22p,1.0,問我幹嘛... 她是小燈的朋友嗎,1,"00:21:09,643","00:21:12,603",30440,30511
cQulFI8BYtCDorbFC22p,1.0,我在問你話,1,"00:21:12,604","00:21:14,522",30511,30557
cgulFI8BYtCDorbFC22p,1.0,等一下,1,"00:21:18,235","00:21:19,110",30646,30667
dgulFI8BYtCDorbFC22p,1.0,你剛才追著燈跑吧?,1,"00:21:30,414","00:21:32,373",30938,30985
egulFI8BYtCDorbFC22p,1.0,是又怎樣,1,"00:21:43,218","00:21:44,552",31245,31277
ewulFI8BYtCDorbFC22p,1.0,"我說啊, 用這種態度和人講話...",1,"00:21:44,553","00:21:47,096",31277,31338
fAulFI8BYtCDorbFC22p,1.0,差勁,1,"00:21:47,090","00:21:48,430",31338,31370
gAulFI8BYtCDorbFC22p,1.0,"我說啊, 用這種態度和人講話...",2,"00:00:12,220","00:00:14,972",292,358
gwulFI8BYtCDorbFC22p,1.0,沒事吧?,2,"00:00:26,151","00:00:27,276",626,653
hAulFI8BYtCDorbFC22p,1.0,怎麼了嗎,2,"00:00:33,867","00:00:35,242",811,844
hwulFI8BYtCDorbFC22p,1.0,貴安,2,"00:02:32,777","00:02:35,028",3662,3716
igulFI8BYtCDorbFC22p,1.0,這樣啊,2,"00:02:48,376","00:02:49,501",4036,4063
iwulFI8BYtCDorbFC22p,1.0,還是去小祥家看看好了,2,"00:02:53,506","00:02:56,592",4159,4233
jAulFI8BYtCDorbFC22p,1.0,小睦知道她家在哪裡吧?,2,"00:02:56,593","00:02:58,886",4233,4288
jQulFI8BYtCDorbFC22p,1.0,希望你可以告訴我,2,"00:02:59,512","00:03:01,722",4303,4356
jgulFI8BYtCDorbFC22p,1.0,我再和她聯絡看看,2,"00:03:08,062","00:03:10,689",4508,4571
jwulFI8BYtCDorbFC22p,1.0,謝謝你,2,"00:03:11,441","00:03:12,649",4589,4618
kQulFI8BYtCDorbFC22p,1.0,叉是企鵝,2,"00:03:38,301","00:03:39,760",5233,5268
kgulFI8BYtCDorbFC22p,1.0,鬍鬚企鵝,2,"00:03:42,639","00:03:43,889",5337,5367
kwulFI8BYtCDorbFC22p,1.0,好可愛喔,2,"00:03:43,890","00:03:45,057",5367,5395
lQulFI8BYtCDorbFC22p,1.0,這個給你,2,"00:03:48,978","00:03:50,354",5489,5522
